GridIndex,z,x,ModelID,ParameterCount,Target,Prediction,Residual,AbsResidual,SigmaPublicProxy,SigmaBranchScatter,SigmaCombinedQuadrature,SigmaMaxNativeScatter,PublicToBranchSigmaRatio,PublicDiagChi2Contribution,BranchScatterDiagChi2Contribution,CombinedDiagChi2Contribution,SigmaGapClass,SignStable,ClaimBoundary,PublicContributionRank,BranchContributionRank
4,1.42,0.7515739767083173,POLY_DEG3,4,-1.66707598793248,-1.1610332665680616,-0.5060427213644183,0.5060427213644183,1.5266241667746752,1.1788007358203196,1.181930994173572,1.1788007358203196,1.295065502069192,0.1098778363697267,0.1842865198237831,0.1833116735270646,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,4.0,4.0
5,1.6475,0.8244143775463955,K1_NO_MEMORY,0,-1.3950527132306294,-0.1766101114929631,-1.2184426017376664,1.2184426017376664,1.470605588976939,0.98645123363807,0.99302179774765,0.98645123363807,1.4908041460430732,0.6864639362755264,1.5256640402568336,1.5055410001449738,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,6.0,7.0
5,1.6475,0.8244143775463955,K2_LOCKED_RHO4,0,-1.3950527132306294,-0.5724433207587397,-0.8226093924718897,0.8226093924718897,1.470605588976939,0.98645123363807,0.99302179774765,0.98645123363807,1.4908041460430732,0.31289232008044654,0.6954022432835667,0.6862301012744277,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,7.0,7.0
5,1.6475,0.8244143775463955,ZERO_RESPONSE_CONTROL,0,-1.3950527132306294,0.0,-1.3950527132306294,1.3950527132306294,1.470605588976939,0.98645123363807,0.99302179774765,0.98645123363807,1.4908041460430732,0.8998887280058926,2.0000000000000004,1.9736206142625323,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,6.0,4.0
5,1.6475,0.8244143775463955,POLY_DEG2,3,-1.3950527132306294,-1.1429279085199298,-0.25212480471069965,0.25212480471069965,1.470605588976939,0.98645123363807,0.99302179774765,0.98645123363807,1.4908041460430732,0.029392648790097918,0.06532507381269355,0.06446345615247674,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,7.0,7.0
5,1.6475,0.8244143775463955,POLY_DEG3,4,-1.3950527132306294,-1.4132245778222696,0.01817186459164022,0.01817186459164022,1.470605588976939,0.98645123363807,0.99302179774765,0.98645123363807,1.4908041460430732,0.00015268858122375966,0.0003393499139879433,0.0003348739928474109,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,8.0,8.0
6,1.875,0.8893016935201591,K1_NO_MEMORY,0,-2.4164046464078455,-0.3416394100954415,-2.074765236312404,2.074765236312404,1.4480873485938237,1.708656111565669,1.716297107527695,1.708656111565669,0.8475007573448574,2.0528083547369964,1.4744450660323687,1.4613457605731615,SIMILAR_SIGMA_SCALE,False,covariance_gap_audit_no_measurement_validation,3.0,8.0
6,1.875,0.8893016935201591,K2_LOCKED_RHO4,0,-2.4164046464078455,-1.3027543158490584,-1.113650330558787,1.113650330558787,1.4480873485938237,1.708656111565669,1.716297107527695,1.708656111565669,0.8475007573448574,0.5914365802422674,0.42480377946483633,0.42102972602898336,SIMILAR_SIGMA_SCALE,False,covariance_gap_audit_no_measurement_validation,4.0,8.0
6,1.875,0.8893016935201591,ZERO_RESPONSE_CONTROL,0,-2.4164046464078455,0.0,-2.4164046464078455,2.4164046464078455,1.4480873485938237,1.708656111565669,1.716297107527695,1.708656111565669,0.8475007573448574,2.784516564270466,2.0000000000000004,1.9822315449236003,SIMILAR_SIGMA_SCALE,False,covariance_gap_audit_no_measurement_validation,3.0,5.0
6,1.875,0.8893016935201591,POLY_DEG2,3,-2.4164046464078455,-1.506995161442143,-0.9094094849657024,0.9094094849657024,1.4480873485938237,1.708656111565669,1.716297107527695,1.708656111565669,0.8475007573448574,0.3943932200372544,0.28327590153200183,0.28075921396670295,SIMILAR_SIGMA_SCALE,False,covariance_gap_audit_no_measurement_validation,2.0,4.0
