TargetFractionFloor,ModelID,ParameterCount,Chi2,AIC,BIC,MeanSigmaEffective,MinSigmaEffective,MaxSigmaEffective,ClaimBoundary
0.13,POLY_DEG2,3,259.0488086528187,265.0488086528187,265.28713327785823,0.2983880673099131,0.0904224520916678,0.6631800767656065,error_floor_sweep_only_no_measurement_validation
0.13,POLY_DEG3,4,214.77776913172687,222.77776913172687,223.0955352984462,0.2983880673099131,0.0904224520916678,0.6631800767656065,error_floor_sweep_only_no_measurement_validation
0.14,K1_NO_MEMORY,0,298.6913411283457,298.6913411283457,298.6913411283457,0.3204715489097943,0.0904224520916678,0.7141939288244994,error_floor_sweep_only_no_measurement_validation
0.14,K2_LOCKED_RHO4,0,202.68297700585197,202.68297700585197,202.68297700585197,0.3204715489097943,0.0904224520916678,0.7141939288244994,error_floor_sweep_only_no_measurement_validation
0.14,ZERO_RESPONSE_CONTROL,0,358.9384484285883,358.9384484285883,358.9384484285883,0.3204715489097943,0.0904224520916678,0.7141939288244994,error_floor_sweep_only_no_measurement_validation
0.14,POLY_DEG2,3,251.15448640293448,257.1544864029345,257.392811027974,0.3204715489097943,0.0904224520916678,0.7141939288244994,error_floor_sweep_only_no_measurement_validation
0.14,POLY_DEG3,4,210.81685016089082,218.81685016089082,219.13461632761016,0.3204715489097943,0.0904224520916678,0.7141939288244994,error_floor_sweep_only_no_measurement_validation
0.15,K1_NO_MEMORY,0,260.4241987428366,260.4241987428366,260.4241987428366,0.34255503050967534,0.0904224520916678,0.7652077808833921,error_floor_sweep_only_no_measurement_validation
0.15,K2_LOCKED_RHO4,0,176.78955266974276,176.78955266974276,176.78955266974276,0.34255503050967534,0.0904224520916678,0.7652077808833921,error_floor_sweep_only_no_measurement_validation
0.15,ZERO_RESPONSE_CONTROL,0,312.9067023968423,312.9067023968423,312.9067023968423,0.34255503050967534,0.0904224520916678,0.7652077808833921,error_floor_sweep_only_no_measurement_validation
0.15,POLY_DEG2,3,244.7857500495711,250.7857500495711,251.0240746746106,0.34255503050967534,0.0904224520916678,0.7652077808833921,error_floor_sweep_only_no_measurement_validation
0.15,POLY_DEG3,4,207.62138285618843,215.62138285618843,215.93914902290777,0.34255503050967534,0.0904224520916678,0.7652077808833921,error_floor_sweep_only_no_measurement_validation
0.16,K1_NO_MEMORY,0,229.1053467581446,229.1053467581446,229.1053467581446,0.36463851210955645,0.0904224520916678,0.816221632942285,error_floor_sweep_only_no_measurement_validation
0.16,K2_LOCKED_RHO4,0,155.5976822136275,155.5976822136275,155.5976822136275,0.36463851210955645,0.0904224520916678,0.816221632942285,error_floor_sweep_only_no_measurement_validation
0.16,ZERO_RESPONSE_CONTROL,0,275.23309128573123,275.23309128573123,275.23309128573123,0.36463851210955645,0.0904224520916678,0.816221632942285,error_floor_sweep_only_no_measurement_validation
0.16,POLY_DEG2,3,239.57340601898974,245.57340601898974,245.81173064402924,0.36463851210955645,0.0904224520916678,0.816221632942285,error_floor_sweep_only_no_measurement_validation
0.16,POLY_DEG3,4,205.00612701791098,213.00612701791098,213.32389318463032,0.36463851210955645,0.0904224520916678,0.816221632942285,error_floor_sweep_only_no_measurement_validation
0.17,K1_NO_MEMORY,0,203.14904851209727,203.14904851209727,203.14904851209727,0.3867219937094376,0.0904224520916678,0.8672354850011779,error_floor_sweep_only_no_measurement_validation
0.17,K2_LOCKED_RHO4,0,138.03437848144137,138.03437848144137,138.03437848144137,0.3867219937094376,0.0904224520916678,0.8672354850011779,error_floor_sweep_only_no_measurement_validation
0.17,ZERO_RESPONSE_CONTROL,0,244.0101241577035,244.0101241577035,244.0101241577035,0.3867219937094376,0.0904224520916678,0.8672354850011779,error_floor_sweep_only_no_measurement_validation
0.17,POLY_DEG2,3,235.25354281695087,241.25354281695087,241.49186744199037,0.3867219937094376,0.0904224520916678,0.8672354850011779,error_floor_sweep_only_no_measurement_validation
0.17,POLY_DEG3,4,202.8386669666541,210.8386669666541,211.15643313337344,0.3867219937094376,0.0904224520916678,0.8672354850011779,error_floor_sweep_only_no_measurement_validation
0.18,K1_NO_MEMORY,0,181.3974181076282,181.3974181076282,181.3974181076282,0.4088054753093187,0.0904224520916678,0.9182493370600706,error_floor_sweep_only_no_measurement_validation
0.18,K2_LOCKED_RHO4,0,123.3161591173946,123.3161591173946,123.3161591173946,0.4088054753093187,0.0904224520916678,0.9182493370600706,error_floor_sweep_only_no_measurement_validation
0.18,ZERO_RESPONSE_CONTROL,0,217.8449740017806,217.8449740017806,217.8449740017806,0.4088054753093187,0.0904224520916678,0.9182493370600706,error_floor_sweep_only_no_measurement_validation
0.18,POLY_DEG2,3,231.63345543477084,237.63345543477084,237.87178005981033,0.4088054753093187,0.0904224520916678,0.9182493370600706,error_floor_sweep_only_no_measurement_validation
0.18,POLY_DEG3,4,201.02231436103668,209.02231436103668,209.34008052775602,0.4088054753093187,0.0904224520916678,0.9182493370600706,error_floor_sweep_only_no_measurement_validation
0.19,K1_NO_MEMORY,0,162.98901415709486,162.98901415709486,162.98901415709486,0.4308889569091998,0.0904224520916678,0.9692631891189635,error_floor_sweep_only_no_measurement_validation
0.19,K2_LOCKED_RHO4,0,110.86013065204027,110.86013065204027,110.86013065204027,0.4308889569091998,0.0904224520916678,0.9692631891189635,error_floor_sweep_only_no_measurement_validation
0.19,ZERO_RESPONSE_CONTROL,0,195.70140846024645,195.70140846024645,195.70140846024645,0.4308889569091998,0.0904224520916678,0.9692631891189635,error_floor_sweep_only_no_measurement_validation
0.19,POLY_DEG2,3,228.56977562648822,234.56977562648822,234.80810025152772,0.4308889569091998,0.0904224520916678,0.9692631891189635,error_floor_sweep_only_no_measurement_validation
0.19,POLY_DEG3,4,199.48513522278046,207.48513522278046,207.8029013894998,0.4308889569091998,0.0904224520916678,0.9692631891189635,error_floor_sweep_only_no_measurement_validation
0.2,K1_NO_MEMORY,0,147.27221737878813,147.27221737878813,147.27221737878813,0.452972438509081,0.0904224520916678,1.0202770411778563,error_floor_sweep_only_no_measurement_validation
0.2,K2_LOCKED_RHO4,0,100.2253755379715,100.2253755379715,100.2253755379715,0.452972438509081,0.0904224520916678,1.0202770411778563,error_floor_sweep_only_no_measurement_validation
0.2,ZERO_RESPONSE_CONTROL,0,176.79559128573118,176.79559128573118,176.79559128573118,0.452972438509081,0.0904224520916678,1.0202770411778563,error_floor_sweep_only_no_measurement_validation
0.2,POLY_DEG2,3,225.95405548747073,231.95405548747073,232.19238011251022,0.452972438509081,0.0904224520916678,1.0202770411778563,error_floor_sweep_only_no_measurement_validation
0.2,POLY_DEG3,4,198.17271660176658,206.17271660176658,206.49048276848592,0.452972438509081,0.0904224520916678,1.0202770411778563,error_floor_sweep_only_no_measurement_validation
0.21,K1_NO_MEMORY,0,133.7467618804617,133.7467618804617,133.7467618804617,0.47505592010896214,0.0904224520916678,1.071290893236749,error_floor_sweep_only_no_measurement_validation
0.21,K2_LOCKED_RHO4,0,91.0733893502088,91.0733893502088,91.0733893502088,0.47505592010896214,0.0904224520916678,1.071290893236749,error_floor_sweep_only_no_measurement_validation
0.21,ZERO_RESPONSE_CONTROL,0,160.52575001588997,160.52575001588997,160.52575001588997,0.47505592010896214,0.0904224520916678,1.071290893236749,error_floor_sweep_only_no_measurement_validation
0.21,POLY_DEG2,3,223.70303660395433,229.70303660395433,229.94136122899383,0.47505592010896214,0.0904224520916678,1.071290893236749,error_floor_sweep_only_no_measurement_validation
0.21,POLY_DEG3,4,197.04328419234588,205.04328419234588,205.36105035906522,0.47505592010896214,0.0904224520916678,1.071290893236749,error_floor_sweep_only_no_measurement_validation
0.22,K1_NO_MEMORY,0,122.02342814879387,122.02342814879387,122.02342814879387,0.49713940170884324,0.0904224520916678,1.1223047452956418,error_floor_sweep_only_no_measurement_validation
0.22,K2_LOCKED_RHO4,0,83.14080708708042,83.14080708708042,83.14080708708042,0.49713940170884324,0.0904224520916678,1.1223047452956418,error_floor_sweep_only_no_measurement_validation
0.22,ZERO_RESPONSE_CONTROL,0,146.42369045928496,146.42369045928496,146.42369045928496,0.49713940170884324,0.0904224520916678,1.1223047452956418,error_floor_sweep_only_no_measurement_validation
0.22,POLY_DEG2,3,221.7519418248533,227.7519418248533,227.9902664498928,0.49713940170884324,0.0904224520916678,1.1223047452956418,error_floor_sweep_only_no_measurement_validation
0.22,POLY_DEG3,4,196.06433652846584,204.06433652846584,204.38210269518518,0.49713940170884324,0.0904224520916678,1.1223047452956418,error_floor_sweep_only_no_measurement_validation
0.23,K1_NO_MEMORY,0,111.79572524709485,111.79572524709485,111.79572524709485,0.5192228833087245,0.0904224520916678,1.1733185973545348,error_floor_sweep_only_no_measurement_validation
0.23,K2_LOCKED_RHO4,0,76.22024195709483,76.22024195709483,76.22024195709483,0.5192228833087245,0.0904224520916678,1.1733185973545348,error_floor_sweep_only_no_measurement_validation
0.23,ZERO_RESPONSE_CONTROL,0,134.12073306266885,134.12073306266885,134.12073306266885,0.5192228833087245,0.0904224520916678,1.1733185973545348,error_floor_sweep_only_no_measurement_validation
0.23,POLY_DEG2,3,220.04976237739822,226.04976237739822,226.28808700243772,0.5192228833087245,0.0904224520916678,1.1733185973545348,error_floor_sweep_only_no_measurement_validation
0.23,POLY_DEG3,4,195.210280328101,203.210280328101,203.52804649482033,0.5192228833087245,0.0904224520916678,1.1733185973545348,error_floor_sweep_only_no_measurement_validation
0.24,K1_NO_MEMORY,0,102.81965327148342,102.81965327148342,102.81965327148342,0.5413063649086054,0.0904224520916678,1.2243324494134276,error_floor_sweep_only_no_measurement_validation
0.24,K2_LOCKED_RHO4,0,70.14659166477568,70.14659166477568,70.14659166477568,0.5413063649086054,0.0904224520916678,1.2243324494134276,error_floor_sweep_only_no_measurement_validation
0.24,ZERO_RESPONSE_CONTROL,0,123.32336906350902,123.32336906350902,123.32336906350902,0.5413063649086054,0.0904224520916678,1.2243324494134276,error_floor_sweep_only_no_measurement_validation
0.24,POLY_DEG2,3,218.55588976664558,224.55588976664558,224.79421439168507,0.5413063649086054,0.0904224520916678,1.2243324494134276,error_floor_sweep_only_no_measurement_validation
0.24,POLY_DEG3,4,194.46074057324373,202.46074057324373,202.77850673996306,0.5413063649086054,0.0904224520916678,1.2243324494134276,error_floor_sweep_only_no_measurement_validation
0.25,K1_NO_MEMORY,0,94.89901457600001,94.89901457600001,94.89901457600001,0.5633898465084866,0.0904224520916678,1.2753463014723203,error_floor_sweep_only_no_measurement_validation
0.25,K2_LOCKED_RHO4,0,64.78709926555169,64.78709926555169,64.78709926555169,0.5633898465084866,0.0904224520916678,1.2753463014723203,error_floor_sweep_only_no_measurement_validation
