RhoCross,ModelID,ModelClass,Rows,PositiveDefinite,ParameterCount,Chi2,AIC,BIC,SignStableViolations,ClaimBoundary
0.25,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,22.354339300003378,22.354339300003378,22.354339300003378,5,cross_covariance_sensitivity_no_measurement_validation
0.25,POLY_DEG2,overfit_risk_control,8,True,3,3.1228289119665065,9.122828911966506,9.361153537006013,0,cross_covariance_sensitivity_no_measurement_validation
0.25,POLY_DEG3,overfit_risk_control,8,True,4,3.19061289948536,11.19061289948536,11.508379066204704,0,cross_covariance_sensitivity_no_measurement_validation
0.3,K1_NO_MEMORY,fair_null,8,True,0,20.883967205429457,20.883967205429457,20.883967205429457,0,cross_covariance_sensitivity_no_measurement_validation
0.3,K2_LOCKED_RHO4,locked_prediction,8,True,0,17.692064002171435,17.692064002171435,17.692064002171435,0,cross_covariance_sensitivity_no_measurement_validation
0.3,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,23.88200325080908,23.88200325080908,23.88200325080908,5,cross_covariance_sensitivity_no_measurement_validation
0.3,POLY_DEG2,overfit_risk_control,8,True,3,3.5379039018637517,9.537903901863752,9.776228526903258,0,cross_covariance_sensitivity_no_measurement_validation
0.3,POLY_DEG3,overfit_risk_control,8,True,4,3.6955991658098064,11.695599165809806,12.01336533252915,0,cross_covariance_sensitivity_no_measurement_validation
0.35,K1_NO_MEMORY,fair_null,8,True,0,22.60303970121648,22.60303970121648,22.60303970121648,0,cross_covariance_sensitivity_no_measurement_validation
0.35,K2_LOCKED_RHO4,locked_prediction,8,True,0,18.88915877763224,18.88915877763224,18.88915877763224,0,cross_covariance_sensitivity_no_measurement_validation
0.35,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,26.025415300491996,26.025415300491996,26.025415300491996,5,cross_covariance_sensitivity_no_measurement_validation
0.35,POLY_DEG2,overfit_risk_control,8,True,3,4.3371232940463145,10.337123294046314,10.575447919085821,0,cross_covariance_sensitivity_no_measurement_validation
