AuditID,NoiseMode,RouteID,SampleID,SubsetID,ProjectedScale,PilotLikeEnergyFractionOfK2,LockedK2Changed,ScaleFitAllowed,MeasurementValidationAllowed,ClaimBoundary
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,8,high_depth,0.04912307150189843,0.4865170145517545,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,8,low_depth,0.21052571583335178,0.40592384508766716,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,8,mid_high_depth,0.046786774828596285,0.3992215737315805,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,8,high_depth,0.046941514445440265,0.43512092575284933,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,8,low_depth,0.5942900549113581,0.8055631130062268,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,9,mid_high_depth,0.07772429075889775,0.03926977839065907,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,9,high_depth,0.10180622285811902,0.05621155482680469,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,9,low_depth,0.022540682336426303,9.574055636936654e-05,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,9,mid_high_depth,-0.023493708190082552,0.004000496976639488,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,9,high_depth,0.00890597854636812,0.0005010020174896142,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,9,low_depth,0.697310711913604,0.5361158559813034,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,10,mid_high_depth,0.03415907555036592,0.41488824910707894,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,10,high_depth,0.0354924684199869,0.44155511809579545,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,10,low_depth,-0.0266145265726903,0.006850828029044356,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,10,mid_high_depth,0.031231393368591476,0.31235509360162683,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,10,high_depth,0.03253291041144989,0.3624974078476237,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,10,low_depth,-0.15795143690178587,0.05331720867071026,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,11,mid_high_depth,0.02270253577283097,0.39960050488698307,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,11,high_depth,0.02361272932358805,0.4257765979267261,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,11,low_depth,0.0011540899939131008,2.4035986564718733e-05,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,11,mid_high_depth,0.02052452323363939,0.29495026147565173,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,11,high_depth,0.021481590374061266,0.3450927967844374,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,11,low_depth,0.025722487127206928,0.0033914595296696405,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,12,mid_high_depth,-0.04670170872454035,0.6345395953971982,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,12,high_depth,-0.0476363172166509,0.660589322482403,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,PUBLIC_PROXY_WHITENED_STANDARDIZED,12,low_depth,0.05368664847792693,0.06590070083644406,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
DERIVATIVE_PILOT_NOISE_SOURCE_AUDIT_V1,SN_ONLY,REGISTERED_SHRINKAGE_WHITENED,12,mid_high_depth,-0.0478284864511227,0.6001420186346483,False,False,False,derivative_pilot_noise_source_audit_no_measurement_validation
