Dataset,SigmaRoute,ValidationMode,FoldID,ModelID,ModelClass,ParameterCount,TrainN,TestN,TestGridIndices,TestChi2,TestMeanChi2,TestMeanAbsResidual,ClaimBoundary
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,high_depth_block,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,5,3,5;6;8,1.6130322955483491,0.5376774318494497,1.042907446097716,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,high_depth_block,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,5,3,5;6;8,0.12657063808638658,0.04219021269546219,0.2804538059009956,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,high_depth_block,POLY_DEG2,overfit_risk_control,3,5,3,5;6;8,4.506087390131591,1.5020291300438637,1.1354715153125254,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,high_depth_block,POLY_DEG3,overfit_risk_control,4,5,3,5;6;8,806.0411239853821,268.680374661794,18.70647392785642,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,sign_unstable_block,K1_NO_MEMORY,fair_null,0,5,3,3;6;8,3.719069135565334,1.2396897118551113,1.340179655254327,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,sign_unstable_block,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,5,3,3;6;8,1.306846030534659,0.435615343511553,0.8089817323897773,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,sign_unstable_block,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,5,3,3;6;8,0.10430199643714572,0.034767332145715237,0.23723135230016767,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,sign_unstable_block,POLY_DEG2,overfit_risk_control,3,5,3,3;6;8,2.105005582013932,0.7016685273379774,1.09906552413797,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,sign_unstable_block,POLY_DEG3,overfit_risk_control,4,5,3,3;6;8,9.589492811574603,3.196497603858201,1.9321589929267162,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_0,K1_NO_MEMORY,fair_null,0,7,1,0,1.8438222715364518,1.8438222715364518,4.898156406749777,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_0,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,0,1.8187783694098074,1.8187783694098074,4.864777825337984,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_0,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,0,1.6461615298869137,1.6461615298869137,4.628170444786686,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_0,POLY_DEG2,overfit_risk_control,3,7,1,0,0.0006917532785279837,0.0006917532785279837,0.094874332548752,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_0,POLY_DEG3,overfit_risk_control,4,7,1,0,11.633616009678617,11.633616009678617,12.30355126089727,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_1,K1_NO_MEMORY,fair_null,0,7,1,1,1.7889180859544775,1.7889180859544775,3.823457452671512,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_1,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,1,1.7056336979203846,1.7056336979203846,3.7333947995763315,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_1,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,1,1.4346881275004049,1.4346881275004049,3.424047545312119,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_1,POLY_DEG2,overfit_risk_control,3,7,1,1,0.6545555825717421,0.6545555825717421,2.3127798768298833,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_1,POLY_DEG3,overfit_risk_control,4,7,1,1,0.5206949359170318,0.5206949359170318,2.062779046743681,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_2,K1_NO_MEMORY,fair_null,0,7,1,2,1.7622191356172667,1.7622191356172667,0.9962064728097975,a2_polynomial_cv_no_measurement_validation
