Dataset,Mapping,Subset,N,Model,ParameterCount,Chi2DiagProxy,AIC,BIC,MaxAbsDiagResidual,EnvelopeFraction,SignStableViolations,Status
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_stable_only,5,POLY_DEG3,4,0.572147791602,8.5721477916,7.00989944134,0.608232334089,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_stable_only,5,SIGN_RANDOMIZED_CONTROL,0,1.90063104763,1.90063104763,1.90063104763,1.36903102369,1.0000000000,2,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_stable_only,5,COORDINATE_REMAP_CONTROL,1,3.01519290434,5.01519290434,4.62463081677,0.98108520276,0.4000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_unstable_only,4,K2_LOCKED_RHO4,0,1.63663322057,1.63663322057,1.63663322057,0.951706346524,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_unstable_only,4,K1_NO_MEMORY,0,0.565332136152,0.565332136152,0.565332136152,0.497628572821,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_unstable_only,4,POLY_DEG2,3,0.00201985162236,6.00201985162,4.16090293498,0.0398781015153,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_unstable_only,4,POLY_DEG3,4,0.0158871012689,8.01588710127,5.56106454575,0.104359408495,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_unstable_only,4,SIGN_RANDOMIZED_CONTROL,0,3.86660759657,3.86660759657,3.86660759657,1.27658342682,0.2500000000,0,ENVELOPE_TENSION
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_unstable_only,4,COORDINATE_REMAP_CONTROL,1,1.39744524228,3.39744524228,2.7837396034,0.853570636859,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,mid_depth,4,K2_LOCKED_RHO4,0,2.91244021285,2.91244021285,2.91244021285,0.984459991882,0.5000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,mid_depth,4,K1_NO_MEMORY,0,0.99507947466,0.99507947466,0.99507947466,0.524487801033,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,mid_depth,4,POLY_DEG2,3,0.07789022092,6.07789022092,4.23677330428,0.203116362347,1.0000000000,1,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,mid_depth,4,POLY_DEG3,4,0.00864347200349,8.008643472,5.55382091648,0.0646533609118,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,mid_depth,4,SIGN_RANDOMIZED_CONTROL,0,0,0,0,0,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,mid_depth,4,COORDINATE_REMAP_CONTROL,1,2.23917356518,4.23917356518,3.6254679263,0.853570636859,0.5000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,high_depth,5,K2_LOCKED_RHO4,0,2.67181118385,2.67181118385,2.67181118385,1.06878144822,0.8000000000,0,ENVELOPE_TENSION
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,high_depth,5,K1_NO_MEMORY,0,0.402642013409,0.402642013409,0.402642013409,0.370095835962,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,high_depth,5,POLY_DEG2,3,0.647318202024,6.64731820202,5.47563193933,0.798043646107,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,high_depth,5,POLY_DEG3,4,0.579391420867,8.57939142087,7.0171430706,0.608232334089,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,high_depth,5,SIGN_RANDOMIZED_CONTROL,0,5.7672386442,5.7672386442,5.7672386442,1.36903102369,0.4000000000,2,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,high_depth,5,COORDINATE_REMAP_CONTROL,1,2.17346458144,4.17346458144,3.78290249387,0.98108520276,0.8000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,all_points,9,K2_LOCKED_RHO4,0,2.3535307288,2.3535307288,2.3535307288,0.697405678324,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,all_points,9,K1_NO_MEMORY,0,1.39772148807,1.39772148807,1.39772148807,0.524487801033,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
