FamilyID,SampleID,z,Omega_R_plus_3Omega_Q,ClaimBoundary
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,0.51,-20.137694548310094,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,0.698,-5.937953311178326,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,0.706,-5.700163309651713,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,0.93,-2.1576058544444114,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,0.934,-2.124866633927895,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,1.317,-0.5262328344935808,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,1.321,-0.5181125735525817,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,1.48,-0.257408879227225,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,1.484,-0.2521270675906915,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,2.33,0.2842319764324054,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,10,2.334,0.2854304398563711,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,0.38,2.5185310528083953,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,0.51,2.2686153627668286,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,0.698,2.0235783677246553,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,0.706,2.0152107367464986,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,0.93,1.8257303756952745,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,0.934,1.8229816668583725,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,1.317,1.6236847804595933,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,1.321,1.6221080874293783,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,1.48,1.5652684253018927,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,1.484,1.563971328787485,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,2.33,1.3794283667927292,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
FULL_NORMALIZED_PYSR_D_AND_H_BRANCHES,11,2.334,1.3788412327719273,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
